Algorithm,N,Capacity,TotalValue,TotalWeight,SelectedCount,TimeMs
DynamicProgramming,1000,10000,265667.43,10000,391,2210
Greedy,1000,10000,265621.56,9995,391,0
Backtrack,1000,10000,265667.43,10000,391,71
DynamicProgramming,2000,10000,366411.12,10000,544,4061
Greedy,2000,10000,366347.54,9997,545,1
Backtrack,2000,10000,366411.12,10000,544,124
DynamicProgramming,3000,10000,437645.04,10000,654,5235
Greedy,3000,10000,437580.52,9997,655,2
Backtrack,3000,10000,437645.04,10000,654,165
DynamicProgramming,4000,10000,505743.08,10000,760,7911
Greedy,4000,10000,505742.42,10000,761,3
DynamicProgramming,5000,10000,564308.62,10000,847,10117
Greedy,5000,10000,564159.81,9995,847,6
DynamicProgramming,6000,10000,619840.58,10000,926,10246
Greedy,6000,10000,619840.58,10000,926,6
DynamicProgramming,7000,10000,675700.26,10000,1011,13789
Greedy,7000,10000,675676.42,10000,1013,11
DynamicProgramming,8000,10000,722832.98,10000,1075,14961
Greedy,8000,10000,722783.33,9999,1076,10
DynamicProgramming,9000,10000,764153.29,10000,1141,15647
Greedy,9000,10000,764110.71,9999,1142,9
DynamicProgramming,10000,10000,812747.04,10000,1211,17175
Greedy,10000,10000,812703.51,9999,1212,13
Greedy,20000,10000,1150292.87,9999,1712,25
Greedy,40000,10000,1598880.32,9999,2350,57
Greedy,80000,10000,2186097.47,10000,3199,95
Greedy,160000,10000,3024756.83,10000,4338,205
Greedy,320000,10000,4051364.48,10000,5710,461
DynamicProgramming,1000,100000,543094.45,51478,1000,25285
Greedy,1000,100000,543094.45,51478,1000,1
Backtrack,1000,100000,543094.45,51478,1000,257
DynamicProgramming,2000,100000,1084059.68,100000,1961,52651
Greedy,2000,100000,1083996.70,99964,1961,2
Backtrack,2000,100000,1084059.68,100000,1961,1208
DynamicProgramming,3000,100000,1428026.39,100000,2237,76120
Greedy,3000,100000,1427985.23,99993,2236,6
Backtrack,3000,100000,1428026.39,100000,2237,1783
DynamicProgramming,4000,100000,1669838.45,100000,2515,57554
Greedy,4000,100000,1669737.42,99988,2516,1
DynamicProgramming,5000,100000,1872848.91,100000,2776,39974
Greedy,5000,100000,1872754.34,99990,2777,1
DynamicProgramming,6000,100000,2051716.06,100000,3056,36044
Greedy,6000,100000,2051613.13,99990,3057,2
DynamicProgramming,7000,100000,2222745.03,100000,3313,41617
Greedy,7000,100000,2222688.54,99995,3314,3
DynamicProgramming,8000,100000,2378629.67,100000,3540,51212
Greedy,8000,100000,2378629.03,100000,3541,3
DynamicProgramming,9000,100000,2520867.28,100000,3756,189782
Greedy,9000,100000,2520803.33,99995,3756,11
DynamicProgramming,10000,100000,2666503.93,100000,3973,116704
Greedy,10000,100000,2666478.03,99998,3973,12
Greedy,20000,100000,3752790.07,100000,5565,16
Greedy,40000,100000,5283454.51,100000,7862,19
Greedy,80000,100000,7395102.47,99998,10966,97
Greedy,160000,100000,10410422.43,100000,15324,199
Greedy,320000,100000,14476680.50,99999,21273,459
Greedy,1000,1000000,543094.45,51478,1000,0
Backtrack,1000,1000000,543094.45,51478,1000,266
Greedy,2000,1000000,1089376.18,103369,2000,2
Backtrack,2000,1000000,1089376.18,103369,2000,1016
Greedy,3000,1000000,1640558.08,155706,3000,3
Backtrack,3000,1000000,1640558.08,155706,3000,2742
Greedy,4000,1000000,2194291.47,206177,4000,3
Greedy,5000,1000000,2747617.20,257004,5000,6
Greedy,6000,1000000,3294347.02,307741,6000,5
Greedy,7000,1000000,3851375.15,358370,7000,8
Greedy,8000,1000000,4397526.97,408348,8000,7
Greedy,9000,1000000,4936234.81,458211,9000,7
Greedy,10000,1000000,5489197.14,509072,10000,5
Greedy,20000,1000000,10950070.04,999956,19830,23
Greedy,40000,1000000,16969601.96,999997,25542,50
Greedy,80000,1000000,23973273.09,999997,35627,112
Greedy,160000,1000000,33931216.43,999999,50326,218
Greedy,320000,1000000,47655041.91,999999,70603,448
